Timestamp,Valor
1741636096.2906425,236
1741636096.3422487,236
1741636096.3941004,236
1741636096.4463587,236
1741636096.4977922,236
1741636096.549699,236
1741636096.6011913,236
1741636096.6541324,236
1741636096.7062778,236
1741636096.7569876,236
1741636096.8101132,236
1741636096.86123,236
1741636096.9133363,236
1741636096.9645445,236
1741636097.0172617,236
1741636097.0683782,236
1741636097.1207244,236
1741636097.1723423,236
1741636097.223993,236
1741636097.2761636,236
1741636097.327923,236
1741636097.3799605,235
1741636097.4317846,236
1741636097.48414,236
1741636097.535077,236
1741636097.5878615,236
1741636097.6396153,236
1741636097.691215,236
1741636097.742909,236
1741636097.7951674,236
1741636097.8468425,236
1741636097.8998353,236
1741636097.9507751,236
1741636098.0032475,236
1741636098.0547647,236
1741636098.090883,158
1741636098.1267612,158
1741636098.1780639,236
1741636098.2308373,236
1741636098.281988,236
1741636098.3343277,236
1741636098.3719935,167
1741636098.4096682,168
1741636098.4479773,169
1741636098.486189,170
1741636098.525049,171
1741636098.5630527,173
1741636098.615841,236
1741636098.65447,176
1741636098.6937652,176
1741636098.7457361,236
1741636098.7972906,236
1741636098.849713,236
1741636098.9010575,236
1741636098.9436011,190
1741636098.9870212,191
1741636099.028108,184
1741636099.0708468,190
1741636099.1221368,236
1741636099.1659753,190
1741636099.207985,193
1741636099.2598598,236
1741636099.3111377,236
1741636099.3633046,236
1741636099.4072247,196
1741636099.454172,208
1741636099.4968853,199
1741636099.5491233,236
1741636099.600677,236
1741636099.647275,213
1741636099.69992,236
1741636099.7517197,236
1741636099.8040519,236
1741636099.8549962,235
1741636099.9073,236
1741636099.9527197,207
1741636099.9977386,206
1741636100.044166,209
1741636100.096666,236
1741636100.1476626,236
1741636100.1998649,236
1741636100.2523153,237
1741636100.30432,235
1741636100.3561437,236
1741636100.408213,236
1741636100.4600384,236
1741636100.508258,223
1741636100.5605428,235
1741636100.612311,234
1741636100.6631873,233
1741636100.714992,236
1741636100.7668328,235
1741636100.817981,236
1741636100.8707097,235
1741636100.9221156,236
1741636100.9739552,235
1741636101.0252557,235
1741636101.0778966,236
1741636101.129029,236
1741636101.1811054,236
1741636101.232864,236
1741636101.2851007,235
1741636101.33654,236
1741636101.388132,235
1741636101.4399269,235
1741636101.491439,235
1741636101.5433002,235
1741636101.594813,235
1741636101.6461487,235
1741636101.6987367,236
1741636101.7508564,236
1741636101.801971,236
1741636101.8537667,236
1741636101.9052477,236
1741636101.9578433,236
1741636102.0089078,235
1741636102.06105,235
1741636102.112833,236
1741636102.1637983,235
1741636102.216183,236
1741636102.2674222,235
1741636102.3197029,236
1741636102.3712,236
1741636102.4111977,177
1741636102.462723,236
1741636102.5152478,236
1741636102.5671978,236
1741636102.6056597,171
1741636102.6429393,170
1741636102.6806593,167
1741636102.7177148,166
1741636102.754878,164
1741636102.8067286,236
1741636102.8420908,158
1741636102.878193,156
1741636102.9122465,153
1741636102.946586,151
1741636102.9801738,148
1741636103.0122375,146
1741636103.045564,144
1741636103.077915,142
1741636103.1098258,140
1741636103.1417224,138
1741636103.1723864,136
1741636103.2038193,135
1741636103.2551618,236
1741636103.306892,236
1741636103.3350601,117
1741636103.3605769,114
1741636103.3877263,112
1741636103.413117,111
1741636103.438922,110
1741636103.4647117,108
1741636103.4896028,107
1741636103.5141323,105
1741636103.538179,104
1741636103.562017,102
1741636103.585886,100
1741636103.6090257,100
1741636103.6350791,111
1741636103.660957,109
1741636103.6862314,108
1741636103.710773,107
1741636103.7328362,93
1741636103.7556605,92
1741636103.7769413,89
1741636103.7982218,89
1741636103.8182757,88
1741636103.8397393,87
1741636103.8611374,85
1741636103.8842025,98
1741636103.9065485,95
1741636103.9587414,236
1741636103.9812431,95
1741636104.0033712,93
1741636104.024454,90
1741636104.0459278,89
1741636104.0672324,89
1741636104.1199865,236
1741636104.1709852,236
1741636104.2239032,236
1741636104.2761571,236
1741636104.3273516,236
1741636104.3787923,236
1741636104.431068,236
1741636104.483593,236
1741636104.4878507,7
1741636104.4912016,8
1741636104.4961948,8
1741636104.5009403,5
1741636104.5042052,7
1741636104.5082474,7
1741636104.5129943,8
1741636104.5178263,5
1741636104.5217776,5
1741636104.5259764,4
1741636104.5301423,5
1741636104.5338917,5
1741636104.5379019,7
1741636104.5421066,8
1741636104.547228,8
1741636104.5828025,161
1741636104.5865395,3
1741636104.5907288,5
1741636104.5947363,3
1741636104.5977433,3
1741636104.6009624,4
1741636104.6049693,3
1741636104.60898,3
1741636104.6119955,2
1741636104.6159494,3
1741636104.6184576,3
1741636104.6226773,3
1741636104.6256816,2
1741636104.6290128,2
1741636104.63258,2
1741636104.6356528,3
1741636104.639013,2
1741636104.641732,3
1741636104.6457586,2
1741636104.6487715,2
1741636104.6517818,2
1741636104.6549573,1
1741636104.6582377,3
1741636104.6609635,2
1741636104.6648936,2
1741636104.6678987,2
1741636104.6713605,2
1741636104.6743655,2
1741636104.6773734,2
1741636104.6798818,1
1741636104.6833873,1
1741636104.6863945,3
1741636104.6900544,2
1741636104.693434,2
1741636104.6964388,3
1741636104.6999483,2
1741636104.7034624,3
1741636104.7070992,3
1741636104.7096064,2
1741636104.7133358,2
1741636104.7165368,2
1741636104.7185378,2
1741636104.7220662,2
1741636104.726079,2
1741636104.7281253,2
1741636104.731768,2
1741636104.7357702,2
1741636104.7381139,2
1741636104.742131,2
1741636104.7457945,2
1741636104.7488167,2
1741636104.7521317,2
1741636104.755143,2
1741636104.7581472,2
1741636104.761203,2
1741636104.7642293,2
1741636104.7682624,2
1741636104.7708004,2
1741636104.7738645,2
1741636104.7778754,2
1741636104.7810726,2
1741636104.784078,2
1741636104.7870853,2
1741636104.7895947,2
1741636104.7927985,2
1741636104.7967474,3
1741636104.7987633,1
1741636104.802706,2
1741636104.8059661,2
1741636104.8089685,2
1741636104.812179,2
1741636104.8159194,2
1741636104.818925,2
1741636104.8214939,2
1741636104.8255074,2
1741636104.8286746,2
1741636104.831711,2
1741636104.834877,2
1741636104.8380802,2
1741636104.8407457,2
1741636104.8447988,2
1741636104.8478205,2
1741636104.8510778,2
1741636104.854086,2
1741636104.8578396,2
1741636104.8609798,2
1741636104.8643663,2
1741636104.8676302,2
1741636104.8716483,8
1741636104.8758006,5
1741636104.8803532,5
1741636104.8840883,5
1741636104.888191,5
1741636104.8932014,5
1741636104.897213,6
1741636104.9016552,8
1741636104.9129007,39
1741636104.916496,7
1741636104.9207826,4
1741636104.9242885,4
1741636104.928299,4
1741636104.932008,5
1741636104.9360182,5
1741636104.9400184,2
1741636104.942649,2
1741636104.9466562,2
1741636104.9501889,3
1741636104.9538817,5
1741636104.958554,6
1741636104.9618134,3
1741636104.966239,3
1741636104.9697473,3
1741636104.973256,3
1741636104.9762764,3
1741636104.9797964,3
